Types,Outlet,Website,Industry,Coverage area,Languages
Industry,About – Animal Scene Magazine,https://animalscene.mb.com.ph/about/,Feed,Philippines,PH/EN
Industry,Agrina Online,http://www.agrina-online.com/agrina,Feed,Indonesia,ID
Industry,Agrina Online,http://www.agrina-online.com/agrina,Feed,ID,ID
Industry,AP Food Industry,https://www.apfoodonline.com/,"Food, Confectionery",APAC,EN
Industry,Asia & Middle East Food Trade,https://ameft.com/,Food,Asia & ME,EN
Industry,Asia & Middle East Food Trade,https://ameft.com/,Food,Asia & ME,EN
Industry,Asia Food & Beverages,https://asiafoodbeverages.com/,"Food, Nutraceuticals",Asia,EN
Industry,Asia Food & Beverages,https://asiafoodbeverages.com/,"Food, Nutraceuticals",APAC,EN
Industry,Asia food journal,https://asiafoodjournal.com/,Food,APAC,EN
Industry,Asia Pacific Food Industry Online,https://www.apfoodonline.com/,"Food, Confectionery",APAC,EN
Industry,Asian Agribiz,https://www.asian-agribiz.com/,"Feed, Food",Asia,EN
Industry,Asian Agribiz,https://www.asian-agribiz.com/,"Feed, Food",APAC,EN
Industry,Australian manufacturing,https://www.australianmanufacturing.com.au/,,AU,EN
Industry,Australian manufacturing,https://www.australianmanufacturing.com.au/,All,AU,EN
Industry,Australian Manufacturing News,https://australianmanufacturingnews.com/,,AU,EN
Industry,Australian Manufacturing News,https://australianmanufacturingnews.com/,All,AU,EN
Industry,Bakery & Snacks,https://www.bakeryandsnacks.com/,Bakery,Global,EN
Industry,Confectionery News,https://www.confectionerynews.com/,Confectionery,Global,EN
Industry,Cosmetics Design Asia,https://www.cosmeticsdesign-asia.com/,Cosmetics,APAC,EN
Industry,FBA,https://foodbeverageasia.com/,"Food, Confectionery",Asia,EN
Industry,FBA,https://foodbeverageasia.com/,"Food, Confectionery",APAC,EN
Industry,"Female Daily - Info, Artikel, Video dan Review Seputar Kecantikan",https://www.femaledaily.com/,Cosmetic,Indonesia,ID
Industry,Food Focus Thailand,https://www.foodfocusthailand.com/index.html,Food,Thailand,TH/EN
Industry,Food Focus Thailand,https://www.foodfocusthailand.com/index.html,"Food, Pet Food",TH,TH/EN
Industry,Food Industry Asia,https://foodindustry.asia/,Food,APAC,EN
Industry,Food Industry Asia,https://foodindustry.asia/,Food,APAC,EN
Industry,Food Navigator Asia,https://www.foodnavigator-asia.com/,Food,Asia,EN
Industry,Food Navigator Asia,https://www.foodnavigator-asia.com/,Food,APAC,EN
Industry,Food Review Indonesia,https://www.foodreview.co.id/,Food,ID,ID
Industry,Food Tech & Manufacturing,https://www.foodprocessing.com.au/,Food,AU,EN
Industry,Food Tech & Manufacturing,https://www.foodprocessing.com.au/,Food,AU,EN
Industry,Foody - Foody Kuliner Indonesia,https://foody.id/,FOOD,Indonesia,ID
Industry,https://www.asiafood.com.tw/en/index.php,https://www.asiafood.com.tw/en/index.php,,,
Industry,Industrial Guide Asia,https://www.iiga.news/,,Asia,EN
Industry,Industry Sourcing,http://www.industrysourcing.com/,,APAC,EN
Industry,Industry Update,https://www.industryupdate.com.au/,,AU,EN
Industry,Industry Update,https://www.industryupdate.com.au/,All,AU,EN
Industry,InnoLab,http://media-matter.com/innolab.html,,Asia,EN
Industry,Manual Jakarta,https://manual.co.id/,Food,Indonesia,ID
Industry,Nutra Ingredients Asia,https://www.nutraingredients-asia.com/,Nutraceuticals,Asia,EN
Industry,Nutra Ingredients Asia,https://www.nutraingredients-asia.com/,Nutraceuticals,APAC,EN
Industry,Partnered media from Bakery China,https://www.bakerychina.com/en/cooperation,Bakery,,
Industry,Pet Food Processing,https://www.petfoodprocessing.net/,Pet Food,APAC,EN
Industry,Pet Food Processing,https://www.petfoodprocessing.net/,Pet Food,APAC,EN
Industry,Project Vanity,https://www.projectvanity.com/,Cosmetic,Philippines,PH/EN
Industry,World Baker,https://www.worldbakers.com/,Bakery,Global,EN
Industry,Yamu.lk,https://www.yamu.lk/,Food,Srilanka,EN
Industry,Yummy.ph,https://www.yummy.ph/,Food,Philippines,PH/EN
